Agency_id,Park_trail_id,Entrance_id,Entrance_name
4,19,3,Heritage Village Park - Inver Grove Heights
4,19,4,MRRT - SLPR Schaar's Bluff Trail Entrance
4,19,5,MRRT - Hastings Trail Entrance
4,19,6,Rock Island Swing Bridge
4,19,7,87th Street
4,19,8,Cahill Ave and Concord Boulevard
4,19,9,Pine Bend Elementary
4,19,10,Pin Bend Bluffs
4,19,11,MRRT:  Archery Access Point
4,19,12,Schaar's Bluff Gathering Center Trail Access Point
4,124,1,35W West Trailhead
4,124,2,Jens A Caspersen Landing
4,95,1,"Kaposia Park, Simon's Ravine Trail Entrance"
4,95,2,Market Street Trail Entrance
4,95,3,Simon's Ravine Trailhead
4,95,4,Thompson County Park
4,95,5,Emerson Avenue East and Sperl Street
4,95,6,Oakdale Avenue and Rehnberg Place
4,95,7,Oakdale Avenue and Wentworth Avenue
4,95,8,Wentworth Library
4,95,9,West Saint Paul Police Department
4,95,10,Marthaler Park
4,95,11,West Kraft Road
4,95,12,Garlough Elementary/Charlton Street Underpass
4,95,13,Dodge Nature Center
4,95,14,Marie Avenue West and Chardel Court
4,95,15,Marie Avenue West and Callahan Place
4,95,16,Warrior Drive/Henry Sibley High School
4,95,17,Sibley Court
4,95,18,Knob Street
4,95,19,Valley Park Location
4,95,20,Bluff Circle Neighborhood Entry
4,95,21,Lilydale East of Sibley Memorial Highway (13)
4,20,1,Schaar's Bluff
4,20,2,Archery Trail
4,118,1,Main Trailhead/Shelter Parking Area
4,118,2,Camper Cabin Parking Area
4,118,3,Lone Rock Trail/Dakota County Hiking Trail Location Marker #17 Intersection
5,135,1,"Marshall Terrace Park, Entrance to Parking Lot"
5,135,2,"Edgewater Park, Bench Near Lowry Avenue Bridge"
5,135,3,"Edgewater Park, Southeast Corner"
5,135,4,"Gluek Park, Path Intersection North of Parking Lot"
5,135,5,"East Bank Trail, Marshall Street Northeast/Burlington Northern Rail Line (North of 16th Avenue Northeast)"
5,135,6,"Sheridan Memorial Park, Northeast 14th Avenue and Northeast Water Street"
5,135,7,"East Bank Trail, Sherer Site"
5,135,8,Between Plymouth and the entrance to 1315 West River Road North
5,135,9,Between Plymouth Avenue and 17th Avenue North
5,135,10,Between 17th Avenue North and Broadway
5,135,11,"West River Road, Across from MPRB"
5,135,12,Ole Olson Park
5,41,1,Highway 100 Entrance
5,41,2,Cedar Lake Road Bridge
5,41,3,Ewing Avenue Entrance
5,41,4,Bridge Over Channel on North Side of Cedar Lake and East of Cedar Lake Parkway (Northeast of intersection of South Cedar Lake Road and Cedar Lake Parkway)
5,41,14,Kenilworth and Cedar Lake Trails Intersection
5,41,5,Kenwood and Penn Avenue Trail Access
5,41,7,Dunwoody and Bryn Mawr Bridge Entrance
5,41,8,Glenwood Avenue/North 12th Street Access
5,41,11,North Washington to 5th Street North
5,41,10,Azine Way Entrance
5,41,13,West River Parkway Entrance
5,42,1,Hennepin Bluffs East
5,42,11,East Bank Stone Arch Bridge Entrance
5,42,17,Hennepin Bluffs West
5,42,3,Main Street:  Third Avenue Southeast to 125 Main Street Southeast (or Aster Café)
5,42,18,Main Street:  125 Main Street Southeast (or Aster Café) to Central Avenue Bridge
5,42,19,Main strEET: Central Avenue Bridge to Wilde Roast Café
5,42,20,Main Street: 518 North Hennepin to Merriam Street East Bank
5,42,12,Merriam Street to Hennepin Avenue along Main Street East Bank
5,42,25,B.F. Nelson - Parking Lot
5,42,28,Boom Island - Canoe/Kayak landing
5,42,4,Boom Island - Canoe/Kayak landing
5,42,5,Plymouth Avenue
5,42,26,Bike/Ped Path South of Plymouth Avenue Bridge
5,42,6,North 4th Avenue/West River Parkway
5,42,24,Nicollet Island - Parking lot near Railroad Tracks
5,42,21,Cedar Lake Trail Entrance and West River Parkway
5,42,7,Hennepin Avenue Bridge Stairway/Ramp
5,42,22,"Hennepin Avenue Bridge, Nicollet Island Inn Side"
5,42,23,Nicollet Island - Wilder Street and West Island Avenue
5,42,8,Protland Avenue Entrance and Mill Ruins - Parking lot Northwest of Portland Avenue
5,42,10,"Mill Ruins Park - Parking lot, lower level (near river)"
5,42,13,11th Avenue South and West River Parkway
5,42,27,10th Avenue Bridge and West River Parkway
5,91,1,Central Avenue and Columbia Parkway Intersection
5,91,2,Northeast Architect's Avenue and Parkway
5,91,3,House Number 801 and Columbia Parkway
5,91,6,35th Avenue Northeast and Columbia Parkway
5,91,4,Columbia Park Picnic Area Parking lot
5,91,5,Intersection of Saint Anthony Parkway and Northeast 5th Street
5,93,1,Midtown Greenway and Kenilworth Trail
5,93,5,Park Siding Park Trail Entrance
5,93,2,Cedar Lake Parkway and Burnham Road
5,93,3,2st Street West and Kenilworth Trail
5,93,4,Cedar Lake Trail and Kenilworth Trail
5,94,1,Highway 55 and Theodore Wirth Parkway
5,94,2,Highway 55 Bridge over Luce Line Trail
5,94,3,Glenwood Avenue and Vincent Avenue North
5,94,4,Glenwood Avenue and Thomas Avenue North
5,94,5,Thomas Avenue North and Inglewood Avenue
5,94,10,Queen Avenue North Trail Entrance
5,94,6,Morgan Avenue and Chestnut Avenue
5,94,7,Chestnut and Cedar Lake Road
5,94,8,Morgan Avenue South and Cedar Lake Road
5,94,9,Bryn Mawr Meadows Parking Lot
5,43,1,Cedar/Brownie Bridge
5,43,2,Cedar Point
5,43,3,Cedar - Midpoint
5,43,4,Cedar - South
5,43,5,Cedar - East Beach
5,43,6,Isles - Franklin
5,43,7,Isles - Oliver Place
5,43,8,Isles - Penn
5,43,9,Isles - Sheridan
5,43,10,Isles - Kenilworth Bridge
5,43,59,Dean Parkway - South Upton Avenue/Thomas Avenue South
5,43,58,Dean Parkway - Northern End
5,43,57,Dean Parkway - West 28th Street
5,43,56,Dean Parkway - North of Lake Street
5,43,11,Isles - West 28th Street
5,43,54,Isles - Lake of the Isles Dog Park
5,43,55,Isles - West Lake of the Isles Parkway and East Lake Calhoun Parkway
5,43,12,Isles - James
5,43,13,Isles - West 27th Street
5,43,14,Isles/West 26th Street - Euclid Place
5,43,15,Isles/West 22nd - West 25th
5,43,16,Isles/West 22nd - Franklin
5,43,17,Bde Maka Ska - Lagoon (Southeast Cornver)
5,43,53,Bde Maka Ska - Sailor's Memorial (South Side)
5,43,18,Bde Maka Ska - West 31st
5,43,19,Bde Maka Ska - West 33rd
5,43,20,Bde Maka Ska - West 36th Street (East side of the lake)
5,43,21,Bde Maka Ska - Richfield Road/Berry Parkway
5,43,22,Bde Maka Ska - Sheridan
5,43,23,Bde Maka Ska - Upton
5,43,24,Bde Maka Ska - Thomas Beach
5,43,25,Bde Maka Ska - Xerxes
5,43,26,Bde Maka Ska - West 36th Street (West side of the lake)
5,43,27,Bde Maka Ska - West 36th Street/Rose Lane
5,43,28,Bde Maka Ska - Rose Lane/West 32nd Street
5,43,29,Bde Maka Ska - Lake Calhoun Executive Center
5,43,30,Bde maka Ska - Dean/Lake
5,43,31,Bde Maka Ska - Main Beach
5,43,32,Harriet - Berry Bridge
5,43,33,Harriet - Main Lot
5,43,34,Harriet - Berry Bays
5,43,35,Harriet - 42nd/Queen
5,43,36,Harriet - Linden Hills
5,43,37,Harriet - Linden/45th
5,43,38,Harriet - West 45th/South Upton
5,43,39,Harriet - Thomas
5,43,40,Harriet - Penn
5,43,41,Harriet - Oliver/Morgan
5,43,42,Harriet - Knox
5,43,43,Harriet - Minnehaha Parkway
5,43,44,Harriet - East Lot 1
5,43,45,Harriet - East Lot 2
5,43,46,Harriet - 43rd
5,43,47,Harriet - 42nd/Dupont Avenue South
5,43,48,Harriet -Roseway/Dupont Avenue South
5,43,49,Harriet - Rose/Peace Garden Parking Lot
5,43,50,Harriet - Beach Bays 1
5,43,51,Harriet - Beach Bays 2
5,43,52,Harriet - Bandstand Overflow Lot
5,45,1,54th Street/Hiawatha Avenue Intersection
5,45,2,Minnehaha Dog Park Parking Lot
5,45,3,Parking Lots/Bays North of the Dog Park
5,45,13,Ped/Bike Trail Entrance from Hiawatha Avenue/Minnehaha Avenue
5,45,4,South of Stevens House/Minnehaha Depot Area
5,45,14,North of Stevens House/Minnehaha Depot Area
5,45,5,Minnehaha Avenue Entrance
5,45,15,Longfellow Gardnes - Parking Lot
5,45,9,Main Parking Lot - South Side of Godfrey Parkway
5,45,7,Nawadaha Boulevard/42nd-43rd Avenue
5,45,6,Godfrey Parkway Parking Lot (North Only) and part of Nawadaha Boulevard
5,45,8,Southeast Corner of 46th Avenue/Godfrey Parkway
5,45,12,Godfrey/West River Parkway Parking Lot
5,45,11,Wabun - Ford Bridge
5,45,10,Wabun - North
5,45,16,Wabun South 1
5,45,17,Wabun South 2
5,46,1,36th Avenue South/East Minnehaha Parkway
5,46,40,38th Avenue South/Parkway
5,46,39,46th Street East/Blue Line LRT
5,46,2,36th Avenue/Crosby Place (North side of creek)
5,46,38,36th Avenue/47th Street (South side of creek)
5,46,37,South 35th Avenue/Minnehaha Parkway (South)
5,46,3,East 47th Street/34th Avenue (North)
5,46,4,31st Avenue South/East 46th Street
5,46,5,31st Avenue South/East 46th Street (Cul-de-sac)
5,46,6,30th Avenue South (Creek Bridge)
5,46,7,Parkway/17-18th Avenue South
5,46,8,East 49th Street/17th Avenue South (South side of creek)
5,46,9,East 50th Street/16th Avenue South
5,46,10,Parkway/14th Avenue South (North side)
5,46,12,East 50th Street/12th Avenue South
5,46,11,Parkway/11th Avenue South (North side)
5,46,13,East 50th Street/East 51st Street
5,46,14,Parkway/Elliot Avenue South (North side)
5,46,17,Parkway/Columbus Avenue South (South side)
5,46,15,Parkway/Columbus - Park Avenue South (North side)
5,46,18,Parkway/Oakland Avenue South (South side)
5,46,16,Parkway/Oakland Avenue South (North side)
5,46,19,Parkway/4th Avenue South/East 50th Street
5,46,20,433 Tarrymore (South side)
5,46,22,Parkway/3rd Avenue South (North side - approximately 330 Minnehaha Parkway)
5,46,21,East Minnehaha Parkway/2nd Avenue South (South side)
5,46,23,Stevens/Creek Bridge
5,46,24,Parkway/Belmont - Valley View (North side)
5,46,25,Creek Footbridge West of Nicollet Avenue
5,46,29,201 West Minnehaha Parkway
5,46,26,144 West Minnehaha Parkway
5,46,27,Creek Bridge at Valley View
5,46,28,Creek Bridge at Harriet Avenue/Minnehaha Parkway
5,46,30,Parkway/Lyndale (North side)
5,46,41,Bryant Avenue South/West Minnehaha Parkway
5,46,31,Parkway/Colfax (North side)
5,46,33,Parkway/Dupont Avenue South (South side)
5,46,34,Parkway/Girara Avenue South (South side)
5,46,32,West Minnehaha Parkway/West 51st Street (Northeast side)
5,46,35,Creek Bridge/Lynnhurst
5,46,36,Parkway/West 50th Street
5,46,43,Northeast Corner of Lynnhurst
5,46,42,Lake Harriet Parkway/West Minnehaha Parkway Intersection
5,44,1,East River Flats
5,44,2,Parkway - Fulton/Oak
5,44,3,Parkway - Ontario/Dartmouth
5,44,4,Parkway - Franklin
5,44,5,1515 East River Parkway
5,44,6,Parkway - Cecil (Bike path)
5,44,7,Parkway - Emerald Street (Bike path)
5,44,8,Godfrey Parkway
5,44,9,Parkway - 44th/45th Street
5,44,10,Parkway - Minnehaha Academy (South campus)
5,44,11,Parkway - 42nd/Northrop Drive
5,44,12,Dowling School
5,44,13,Parkway - 37th/38th
5,44,14,Parkway - East 36th
5,44,15,Parkway - East 34th
5,44,16,Parkway - East 32nd
5,44,17,Parkway - East Lake Street
5,44,18,Parkway - East 28th Street
5,44,19,Parkway - East 27th Street
5,44,20,Parkway - East 25th Street
5,44,21,Parkway - East 24th Street
5,44,22,Parkway - Franklin
5,44,23,Parkway - Riverside Park (Just north of Franklin)
5,44,27,4th Street South and West River Parkway
5,44,24,Bohemian Flats Parking Lot
5,100,1,Hennepin Avenue Stinson Boulevard
5,100,2,Northeast Kennedy Street and Stinson Boulevard
5,100,3,Northeast Broadway Street and Stinson Boulevard
5,100,8,Northeast Broadway Street/New Brighton Boulevard Entrance
5,100,4,Ridgeway Parkway and Stinson Boulevard
5,100,5,Intersection of Stinson and New Brighton Boulevard
5,100,9,19th Avenue and New Brighton Boulevard (Hillside Cemetery Entrance)
5,100,6,Gross Golf Course Entrance
5,100,7,Walnut Street and Rose Street (Roseville)
5,48,1,East 44th/29th Avenue South
5,48,2,East 47th Street/27th Avenue South
5,48,3,Minnehaha Parkway/Nokomis Community Center
5,48,6,East Nokomis Parkway/Community Center
5,48,4,East 49th Street/Woodlawn
5,48,5,Lake Nokomis Parkway East/50th Street (North side of intersection)
5,48,8,East 50th Street/East Nokomis Parkway (East side)
5,48,9,East 52nd Street/Woodlawn
5,48,10,East 54th/Woodlawn
5,48,11,5525 Woodlawn Boulevard
5,48,12,South 20th Avenue/Woodlawn
5,48,13,Cedar Avenue/West lake Nokomis Parkway
5,48,23,West Lake Nokomis Parkway/East 56th Street
5,48,14,East 55th Street/Edgewater
5,48,15,East 53rd/West Nokomis Parkway
5,48,16,Cedar/Nokomis (North side)
5,48,17,Main Lot 1 (Southwest)
5,48,18,Main Lot 2 (Northwest)
5,48,19,Main Lot 3 (Southeast)
5,48,20,Main Lot 4 (Northeast)
5,48,21,Ballfields (East side)
5,48,22,Minnehaha Parkway (Dam Lot)
5,48,7,East Nokomis Parkway/Minnehaha Parkway
5,47,1,Camden Boat Launch
5,47,2,37th Street Bridge
5,47,4,48th Avenue Entrance
5,47,5,53rd Avenue Entrance
5,47,7,North Mississippi Drive Entrance
5,47,8,Webber Parkway/Lyndale
5,47,9,Webber Parkway/Colfax
5,47,10,Webber Parkway/Emerson
5,47,11,Webber Parkway/45th Avenue North
5,47,12,"Northwest, Train Tracks/45th Avenue North"
5,92,1,Stinson Bouleavard Northeast and Ridgeway Parkway
5,92,2,Parking Lot on Ridgeway Parkway
5,92,3,Ridgeway Parkway and Industrail Boulevard/Saint Anthony Parkway
5,90,1,Ulysses and Saint Anthony Parkway Inersection
5,90,2,Northeast Fillmore and Saint Anthony Parkway
5,90,3,Intersection of Northeast 32nd and Taylor Street
5,90,4,Central Avenue and Saint Anthony Parkway
5,90,5,Four-sided kiosk parking lot northwest of dog park on Saint Anthony Parkway
5,90,6,Soo Line Bridge and Saint Anthony Parkway
5,90,7,Northeast Pierce Street and Saint Anthony Parkway
5,90,8,Stairway crossing of Saint Anthony Parkway south of Deming Heights Park
5,90,9,Intersection of 37th Avenue Northeast and Sain Anthony Parkway
5,90,10,McKinley and Saint Anthony Parkway Intersection
5,90,11,Cleveland and Saint Anthony Parkway Intersection
5,90,12,Arthur Street Northeast and Saint Anthony Parkway Intersection
5,90,13,Hayes and Saint anthony Parkway Intersection
5,90,14,Marshall and Saint Anthony Parkway Intersection
5,103,1,Russell Avenue North and 53rd Street
5,103,2,Penn Avenue North/52nd Avenue North
5,103,3,Morgan Avenue North/51st Avenue North
5,103,4,Knox Avenue North/51st Avenue North
5,103,5,Creekview Park
5,103,6,Humboldt Avenue and Shingle Creek Drive
5,103,7,49th Avenue North to Shingle Creek Drive
5,103,8,45th Avenue North to Humboldt Avenue North along Shingle Creek Drive
5,49,1,Golden Valley Road/Parkway
5,49,2,Plymouth Avenue/Parkway
5,49,3,Park 3 lot
5,49,4,Wirth Parkway/Highway 55
5,49,5,Glenwood/Xerxes
5,49,6,Xerxes/Chestnut
5,49,7,Glenwood Avenue/Wirth Parkway
5,49,8,Wirth Beach
5,49,9,I-394/Parkway
5,49,10,Parking Lot - Quaking Bog
5,49,11,Ottawa Avenue North and Luce Line (Golden Valley)
5,50,1,Golden Valley Road/Parkway
5,50,2,Xerxes/Glenwood Parkway
5,50,3,Vincent Avenue North/McNair
5,50,4,Vincent/24th
5,50,5,Vincent/27th
5,50,6,Wirth Parkway/26th (Parking lot)
5,50,7,Xerxes/Glenwood Parkway
5,50,8,Xerxes/Manor Drive
5,50,9,Xerxes/Parkview Boulevard
5,50,10,York/30th
5,50,11,"3222 Xerxes Avenue North (Parkway/Lowry/Broadway intersection, on the northeast)"
5,50,12,Xerxes/34th
5,50,13,Xerxes/36th
5,50,14,York/34th
5,50,15,York/36th
5,50,16,York/38th
5,50,17,York/40th
5,50,18,York/42nd
5,50,19,York/43rd - Lake Drive
5,50,20,Xerxes/Dowling
5,50,21,Xerxes/40th - East side
5,50,22,Xerxes/42nd - East side
5,50,23,The Statue Opposite the Flagpole
5,50,24,Flagpole
5,50,25,Vincent/Parkway
5,50,26,Sheridan/Parkway
5,50,27,Penn/Parkway
5,50,28,Newton/Parkway
5,50,29,Logan/Parkway
5,50,30,James/Parkway
5,50,31,Humboldt/Parkway
5,50,32,Webber Parkway/Memorial Parkway
6,51,1,Picnic Pavilion
6,51,2,Upper Afton/McKnight Corner
6,51,3,Lower Afton Road (entrance to Lower Afton Off-leash Dog Area and trail)
6,51,4,Point Douglas - Lower Picnic Area (entry from Sam Morgan Trail to BC Lower Creek)
6,51,5,Winthrop Street Site
6,51,6,Creek Trail at McKnight
6,51,7,Creek Trail at North Park Drive
6,51,8,Creek Trail at Upper Afton Road
6,51,9,Lower Afton Road and McKnight Road
6,51,10,North Off-leash Dog Parking Lot Entrnace
6,51,11,Londin Lane East and Lower Afton Road
6,51,12,Lower Afton Road and Century Avenue
6,51,13,Ferndale Street North and Upper Afton Road
6,51,14,Trail Entrance in Afton Heights Park
6,51,15,Edgebrook Avenue and McKnight Road South
6,51,16,Hillsdale Avenue and McKnight Road
6,51,17,winthrop Street South and Lower Afton Road
6,51,18,Winthrop Street South (South of Hillsdale)
6,51,19,Battle Creek Road Trail Entrances (1)
6,51,20,Battle Creek Road Trail Entrance (2)
6,51,21,Point Douglas - Lower Afton Trail Entrance
6,51,22,Burns Overlook Connection
6,51,23,White Bear Avenue and C Street
6,51,24,Battle Creek Trail at McKnight and North Park Drive
6,52,1,Bald Eagle Boat Launch and Picnic Area
6,52,2,Tamarack Nature Center
6,52,3,Otter Lake Boat Launch/Dog Park
6,52,4,Tamarack North by Normandy Court
6,52,5,Tamarack North by Feather Court
6,52,6,Tamarack Northeast Corner
6,52,7,Tamarack East Side
6,52,8,Tamarack East side by Seneca
6,52,9,Tamarack South Side
6,53,1,Highway 96/White Bear Parkway
6,53,3,9th Street (White Bear Parkway) and Township Parkway
6,53,4,Hammond and Otter Lake Road
6,53,5,White Bear Parkway and Birch Lake Boulevard
6,53,6,Tamarack Parking Lot North
6,53,7,Tamarack Parking Lot South
6,53,8,Hammond and Township Parkway
6,54,1,South Trail Entrance (Northeast of the intersection of Maryland Avenue and Johnson Parkway)
6,54,2,Gateway Intersection and Frost Avenue Entrance
6,54,3,Beam Avenue Trail Entrance
6,54,4,Burkle Road Trail Entrance
6,54,5,City Road D and Hazelwood
6,54,6,County Road C East and Neighborhood entrance through Harvest Park to Trail Entrance
6,54,7,Cope Avenue
6,54,8,Skillman Avenue Trail Entrance
6,54,9,Ripley Avenue and Neighborhood Entrance onto Trail
6,54,10,Larpenter Avenue Trail Entrance
6,54,11,Idaho Avenue Trail Entrance
6,54,12,Arlington Avenue Trail Entrance
6,54,13,Weaver Elementary School
6,54,14,Highway 36 frontage road connection
6,54,15,Neighborhood access from Fitch Road
6,54,16,County Road B Trail Entrance
6,54,17,County Road D
6,55,1,Snail Lake - North (Beach and Boat Launch Area)
6,55,2,Snail Lake - South (Picnic Pavilion Area)
6,55,3,Sucker Lake - North
6,55,4,Sucker Lake - South/Lake Vadnais North
6,55,5,Lake Vadnais - South
6,55,6,Snail Lake Boulevard - Trail entrance from sidwalk just north of Beach and Boat Launch Area on east side of road
6,55,7,Snail Lake Road at Trail Underpass
6,55,8,Gramsie Road and Mackubin Street
6,55,10,Bridge over I-694 to Grass Lake
6,55,11,Entrance from Highway 96 Trail (across from Grocery Store)
6,55,12,Sucker Lake Road and County Road F (Vadnais Lakes Section)
6,55,13,Picnic area on Vadnais Boulevard and Edgerton Street (Little Vadnais Park)
6,55,14,Hanska Neighborhood Entrance
6,56,1,Highway 96 and Victoria Street
6,56,2,Snail lake Boulevard and Highway 96
6,56,3,Rice Street/Hodgson Road and Highway 96
6,56,4,McMenemy and Highway 96
6,56,5,Bramblewood and Highway 96
6,56,6,Highway 96 and South Birch Lake Boulevard (between White Bear Parkway and Otter Lake Road on south side of Highway 96)
6,56,7,Highway 96 at Hamline Avenue
6,56,8,Highway 96 and Lexington Avenue
6,56,9,Rice Street and Highway 96 (across from entrance to North Oaks)
6,56,10,Highway 96 and Birch Bend Road (approximately 1 block west of Centerville Road)
6,56,11,Highway 96 and White Bear Parkway
